Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NIV_EDUCA_esta,SEXE
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,248,4,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,232,4,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,496,5,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,451,5,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,..,6,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,..,6,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,..,1,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,5,1,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,50,2,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,63,2,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,100,3,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,119,3,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,180,4,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,196,4,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,337,5,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,307,5,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,..,6,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,18,1,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,47,1,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,461,2,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,3161,2,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,668,3,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,3977,3,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,576,4,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,1569,4,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,655,5,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,918,5,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,..,6,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,6,6,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,9,1,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,5,1,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,76,2,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,98,2,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,126,3,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,157,3,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,184,4,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,196,4,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,337,5,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,299,5,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,9,1,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,82,2,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,108,2,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,155,3,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,187,3,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,238,4,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,256,4,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,521,5,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,399,5,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,..,6,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,..,1,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,..,1,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,71,2,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,95,2,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,114,3,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,170,3,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,168,4,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,200,4,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,336,5,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,295,5,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,10,1,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,5,1,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,183,2,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,213,2,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,263,3,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,294,3,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,230,4,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,299,4,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,452,5,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,434,5,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,..,6,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,..,6,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,8,1,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,..,1,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,108,2,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,144,2,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,141,3,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,232,3,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,198,4,1
